Дата;ВВП(млн.грн);
1 кв 2001;39201.00;
2 кв 2001;46481.00;
3 кв 2001;58999.00;
4 кв 2001;59509.00;
1 кв 2002;44132.00;
2 кв 2002;50117.00;
3 кв 2002;65067.00;
4 кв 2002;66494.00;
1 кв 2003;52583.00;
2 кв 2003;60798.00;
3 кв 2003;75812.00;
4 кв 2003;78151.00;
1 кв 2004;66981.00;
2 кв 2004;78607.00;
3 кв 2004;99405.00;
4 кв 2004;100120.00;
1 кв 2005;88104.00;
2 кв 2005;101707.00;
3 кв 2005;122861.00;
4 кв 2005;128780.00;
1 кв 2006;106348.00;
2 кв 2006;126319.00;
3 кв 2006;152406.00;
4 кв 2006;159080.00;
1 кв 2007;139444.00;
2 кв 2007;166869.00;
3 кв 2007;199535.00;
4 кв 2007;214883.00;
1 кв 2008;191459.00;
2 кв 2008;236033.00;
3 кв 2008;276451.00;
4 кв 2008;244113.00;
1 кв 2009;189028.00;
2 кв 2009;214103.00;
3 кв 2009;250306.00;
4 кв 2009;259908.00;
1 кв 2010;217286.00;
2 кв 2010;256754.00;
3 кв 2010;301251.00;
4 кв 2010;307278.00;
1 кв 2011;258591.00;
2 кв 2011;310277.00;
3 кв 2011;368488.00;
4 кв 2011;362635.00;
1 кв 2012;292324.00;
2 кв 2012;346005.00;
3 кв 2012;387109.00;
4 кв 2012;379231.00;
1 кв 2013;303753.00;
2 кв 2013;354814.00;
3 кв 2013;398000.00;
4 кв 2013;408631.00;
1 кв 2014;316905.00;
2 кв 2014;382391.00;
3 кв 2014;440476.00;
4 кв 2014;447143.00;
1 кв 2015;375525.00;
2 кв 2015;455245.00;
3 кв 2015;563907.00;
4 кв 2015;584781.00;
1 кв 2016;453185.00;
