year,quar,usd
2001,1,197
2001,2,343
2001,3,99
2001,4,153
2002,1,122
2002,2,116
2002,3,157
2002,4,298
2003,1,237
2003,2,467
2003,3,390
2003,4,330
2004,1,334
2004,2,614
2004,3,422
2004,4,345
2005,1,265
2005,2,366
2005,3,675
2005,4,6502
2006,1,1154
2006,2,1368
2006,3,1737
2006,4,1345
2007,1,1755
2007,2,1978
2007,3,4545
2007,4,1915
2008,1,2591
2008,2,3665
2008,3,3369
2008,4,1075
2009,1,905
2009,2,1290
2009,3,1234
2009,4,1340
2010,1,1513
2010,2,1243
2010,3,1484
2010,4,2211
2011,1,876
2011,2,2423
2011,3,2115
2011,4,1793
2012,1,2298
2012,2,1950
2012,3,2050
2012,4,1877
2013,1,1144
2013,2,583
2013,3,1634
2013,4,1148
2014,1,-470
2014,2,-78
2014,3,7766
2014,4,629
2015,1,540
2015,2,852
2015,3,915
2015,4,743
2016,1,1356
